date,repo_rate,change_bps,decision,hike,cut,change,gsec_yield_pre,gsec_yield_post,gsec_yield_change,inrusd_pre,inrusd_post,inrusd_change,walr_pre,walr_post,walr_change,credit_growth_pre,credit_growth_post,credit_growth_change,cpi_yoy_pre,cpi_yoy_post,cpi_yoy_change,hawk_score,hawk_lag1,hawk_lag2,hawk_lag3,hawk_change,hawk_ma3,dict_score,sentiment,hawk_freq,dove_freq,inflation_freq,growth_freq,covid_dummy
2018-12-05,6.5,0,hold,0,0,0,7.37335,7.34735,-0.02600000000000069,70.62999725341797,70.87000274658203,0.2400054931640625,10.35,10.35,0.0,12.8,13.1,0.29999999999999893,5.244785606363234,6.5971371256887235,1.3523515193254898,0.16416460121170776,0.12122700563627709,1.690466900347938,1.74297307938423,0.04293759557543067,0.6586195023986411,-0.09740259740259741,0.7184,139,169,19,25,0
2019-02-07,6.25,-25,cut,0,1,1,7.4312,7.41366,-0.017539999999999445,71.54049682617188,71.58000183105469,0.0395050048828125,10.08,10.08,0.0,7.0,6.5,-0.5,6.968622707366312,7.665521412488241,0.6968987051219289,-1.5656587398406832,0.16416460121170776,0.12122700563627709,1.690466900347938,-1.7298233410523909,-0.426755710997566,-0.9425287356321839,-0.7184,5,169,5,25,0
2019-04-04,6.0,-25,cut,0,1,1,7.421075,7.3271,-0.09397500000000036,68.8499984741211,68.97039794921875,0.12039947509765625,10.08,10.08,0.0,7.0,6.5,-0.5,8.333287948515466,8.650538436837119,0.3172504883216529,-1.553828979879084,-1.5656587398406832,0.16416460121170776,0.12122700563627709,0.011829759961599073,-0.9851077061693531,-0.9767441860465116,-0.5267,2,170,2,26,0
2019-06-06,5.75,-25,cut,0,1,1,6.96805,6.597725,-0.37032500000000024,69.625,69.36000061035156,-0.2649993896484375,10.08,10.08,0.0,7.0,6.5,-0.5,8.591089371297155,5.980012488937558,-2.6110768823595967,-1.5538935777110008,-1.553828979879084,-1.5656587398406832,0.16416460121170776,-6.459783191670176e-05,-1.557793765810256,-0.9431818181818182,-0.2023,5,171,5,27,0
2019-08-07,5.4,-35,cut,0,1,1,6.61912,6.81335,0.19423000000000012,71.2300033569336,71.16510009765625,-0.06490325927734375,10.08,10.08,0.0,7.0,6.5,-0.5,6.3122112801681896,6.976695711986669,0.6644844318184795,-1.5381416066419185,-1.5538935777110008,-1.553828979879084,-1.5656587398406832,0.015751971069082327,-1.5486213880773345,-0.9655172413793104,-0.2023,3,171,3,27,0
2019-10-04,5.15,-25,cut,0,1,1,6.5418,6.63498,0.09317999999999937,71.0199966430664,70.81500244140625,-0.20499420166015625,10.08,10.08,0.0,7.0,6.5,-0.5,7.61588028156821,8.609263497581466,0.9933832160132559,-1.6254161413727584,-1.5381416066419185,-1.5538935777110008,-1.553828979879084,-0.0872745347308399,-1.5724837752418923,-0.943502824858757,0.2023,5,172,5,28,0
2019-12-05,5.15,0,hold,0,0,0,6.848575,6.8218,-0.02677500000000066,71.4801025390625,71.38500213623047,-0.09510040283203125,10.08,10.08,0.0,7.0,6.5,-0.5,9.634546589903415,7.4919318443080085,-2.1426147455954068,0.1338675154344872,-1.6254161413727584,-1.5381416066419185,-1.5538935777110008,1.7592836568072456,-1.0098967441933964,-0.09032258064516129,0.7184,141,169,21,25,0
2020-02-06,5.15,0,hold,0,0,0,6.65965,6.701575,0.04192499999999999,71.18000030517578,71.47000122070312,0.29000091552734375,9.27,9.27,0.0,5.9,5.7,-0.20000000000000018,6.840433594182427,5.501594303316093,-1.3388392908663338,0.16052011718350498,0.1338675154344872,-1.6254161413727584,-1.5381416066419185,0.02665260174901779,-0.443676169584922,-0.1032258064516129,0.8807,139,171,19,27,0
2020-03-27,4.4,-75,cut,0,1,1,6.701575,6.76515,0.06357500000000016,74.72560119628906,75.46499633789062,0.7393951416015625,9.27,9.27,0.0,5.9,5.7,-0.20000000000000018,5.501594303316093,5.448694047827529,-0.05290025548856381,-1.6116320757418774,0.16052011718350498,0.1338675154344872,-1.6254161413727584,-1.7721521929253823,-0.439081481041295,-0.9767441860465116,-0.5267,2,170,2,26,1
2020-05-22,4.0,-40,cut,0,1,1,5.91544,5.8551,-0.06034000000000006,75.625,75.98500061035156,0.3600006103515625,9.27,9.27,0.0,5.9,5.7,-0.20000000000000018,5.09554193155215,5.063294280764863,-0.032247650787287085,-1.5646894869125236,-1.6116320757418774,0.16052011718350498,0.1338675154344872,0.04694258882935376,-1.0052671484902986,-0.9540229885057471,-0.5267,4,170,4,26,1
2020-08-06,4.0,0,hold,0,0,0,6.0105,6.024675,0.014174999999999827,74.8822021484375,74.8998031616211,0.01760101318359375,9.27,9.27,0.0,5.9,5.7,-0.20000000000000018,5.625035229993669,5.636614572762322,0.0115793427686528,0.18377903770602041,-1.5646894869125236,-1.6116320757418774,0.16052011718350498,1.748468524618544,-0.9975141749827935,-0.1038961038961039,0.8225,138,170,18,26,1
